Date,Henry,Algonquin Citygates,Chicago Citygates,TETCO-M3
2017-04-18,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-04-19,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-04-20,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-04-21,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-04-22,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-04-23,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-04-24,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-04-25,2.99,5.623330879216989,3.0767803912038056,2.8168809291716514
2017-04-26,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-04-27,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-04-28,3.2,6.2302834064394395,3.2918437988803415,3.1321141218381894
2017-04-29,3.2,6.2302834064394395,3.2918437988803415,3.1321141218381894
2017-04-30,3.2,6.2302834064394395,3.2918437988803415,3.1321141218381894
2017-05-01,3.2,6.2302834064394395,3.2918437988803415,3.1321141218381894
2017-05-02,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-05-03,3.14,6.056868398661595,3.23039711097276,3.0420474953620356
2017-05-04,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-05-05,3.1,5.9412583934763665,3.1894326523677052,2.982003077711266
2017-05-06,3.086666666666667,5.902721725081292,3.1757778328326873,2.961988271827677
2017-05-07,3.0733333333333333,5.864185056686215,3.162123013297669,2.9419734659440864
2017-05-08,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-05-09,3.03,5.738940884402216,3.11774484980886,2.87692534682242
2017-05-10,3.03,5.738940884402216,3.11774484980886,2.87692534682242
2017-05-11,3.23,6.31699091032836,3.3225671428341323,3.177147435076266
2017-05-12,3.24,6.345893411624668,3.332808257485396,3.192158539488959
2017-05-13,3.2466666666666666,6.365161745822205,3.339635667252905,3.2021659424307534
2017-05-14,3.2533333333333334,6.384430080019743,3.346463077020414,3.212173345372548
2017-05-15,3.26,6.40369841421728,3.3532904867879227,3.2221807483143423
2017-05-16,3.27,6.432600915513588,3.3635316014391865,3.2371918527270354
2017-05-17,3.27,6.432600915513588,3.3635316014391865,3.2371918527270354
2017-05-18,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-05-19,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-05-20,3.1533333333333333,6.095405067056672,3.2440519305077777,3.0620623012456254
2017-05-21,3.1966666666666668,6.220649239340669,3.288430093996587,3.1271104203672917
2017-05-22,3.24,6.345893411624668,3.332808257485396,3.192158539488959
2017-05-23,3.22,6.288088409032054,3.3123260281828686,3.1621363306635737
2017-05-24,3.22,6.288088409032054,3.3123260281828686,3.1621363306635737
2017-05-25,3.1,5.9412583934763665,3.1894326523677052,2.982003077711266
2017-05-26,3.1,5.9412583934763665,3.1894326523677052,2.982003077711266
2017-05-27,3.1,5.9412583934763665,3.1894326523677052,2.982003077711266
2017-05-28,3.1,5.9412583934763665,3.1894326523677052,2.982003077711266
2017-05-29,3.1,5.9412583934763665,3.1894326523677052,2.982003077711266
2017-05-30,3.1,5.9412583934763665,3.1894326523677052,2.982003077711266
2017-05-31,3.05,5.79674588699483,3.138227079111387,2.9069475556478044
2017-06-01,3.05,5.79674588699483,3.138227079111387,2.9069475556478044
2017-06-02,2.85,5.218695861068688,2.933404786086115,2.6067254673939586
2017-06-03,2.8733333333333335,5.286135030760071,2.957300720272397,2.6417513776902415
2017-06-04,2.8966666666666665,5.353574200451454,2.9811966544586785,2.6767772879865226
2017-06-05,2.92,5.421013370142837,3.00509258864496,2.7118031982828046
2017-06-06,2.92,5.421013370142837,3.00509258864496,2.7118031982828046
2017-06-07,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-06-08,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-06-09,3.03,5.738940884402216,3.11774484980886,2.87692534682242
2017-06-10,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-06-11,3.09,5.9123558921800585,3.1791915377164415,2.966991973298574
2017-06-12,3.12,5.999063396068981,3.2099148816702328,3.0120252865366512
2017-06-13,3.12,5.999063396068981,3.2099148816702328,3.0120252865366512
2017-06-14,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-06-15,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-06-16,3.01,5.681135881809602,3.0972626205063327,2.846903137997035
2017-06-17,2.9633333333333334,5.546257542426836,3.0494707521337694,2.7768513174044718
2017-06-18,2.9166666666666665,5.411379203044068,3.0016788837612056,2.706799496811907
2017-06-19,2.87,5.276500863661302,2.9538870153886423,2.636747676219344
2017-06-20,2.91,5.3921108688465305,2.994851473993697,2.6967920938701124
2017-06-21,2.91,5.3921108688465305,2.994851473993697,2.6967920938701124
2017-06-22,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-06-23,2.89,5.334305866253916,2.97436924469117,2.666769885044728
2017-06-24,2.92,5.421013370142837,3.00509258864496,2.7118031982828046
2017-06-25,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-06-26,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-06-27,2.99,5.623330879216989,3.0767803912038056,2.8168809291716514
2017-06-28,3.03,5.738940884402216,3.11774484980886,2.87692534682242
2017-06-29,3.07,5.854550889587444,3.1587093084139144,2.9369697644731887
2017-06-30,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-07-01,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-07-02,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-07-03,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-07-04,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-07-05,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-07-06,2.89,5.334305866253916,2.97436924469117,2.666769885044728
2017-07-07,2.91,5.3921108688465305,2.994851473993697,2.6967920938701124
2017-07-08,2.9133333333333336,5.401745035945299,2.9982651788774515,2.70179579534101
2017-07-09,2.9166666666666665,5.411379203044068,3.0016788837612056,2.706799496811907
2017-07-10,2.92,5.421013370142837,3.00509258864496,2.7118031982828046
2017-07-11,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-07-12,3.01,5.681135881809602,3.0972626205063327,2.846903137997035
2017-07-13,2.96,5.536623375328067,3.046057047250015,2.771847615933574
2017-07-14,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-07-15,2.973333333333333,5.575160043723142,3.0597118667850327,2.791862421817163
2017-07-16,3.006666666666667,5.671501714710833,3.0938489156225786,2.841899436526138
2017-07-17,3.04,5.767843385698524,3.1279859644601236,2.8919364512351122
2017-07-18,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-07-19,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-07-20,3.12,5.999063396068981,3.2099148816702328,3.0120252865366512
2017-07-21,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-07-22,3.0366666666666666,5.758209218599755,3.124572259576369,2.8869327497642145
2017-07-23,3.0133333333333336,5.690770048908372,3.1006763253900878,2.8519068394679334
2017-07-24,2.99,5.623330879216989,3.0767803912038056,2.8168809291716514
2017-07-25,2.99,5.623330879216989,3.0767803912038056,2.8168809291716514
2017-07-26,2.92,5.421013370142837,3.00509258864496,2.7118031982828046
2017-07-27,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-07-28,2.96,5.536623375328067,3.046057047250015,2.771847615933574
2017-07-29,2.93,5.449915871439145,3.015333703296224,2.7268143026954976
2017-07-30,2.9,5.3632083675502225,2.984610359342433,2.6817809894574203
2017-07-31,2.87,5.276500863661302,2.9538870153886423,2.636747676219344
2017-08-01,2.8,5.074183354587151,2.882199212829797,2.531669945330497
2017-08-02,2.8,5.074183354587151,2.882199212829797,2.531669945330497
2017-08-03,2.76,4.958573349401922,2.8412347542247423,2.4716255276797274
2017-08-04,2.76,4.958573349401922,2.8412347542247423,2.4716255276797274
2017-08-05,2.773333333333333,4.997110017796998,2.8548895737597606,2.4916403335633173
2017-08-06,2.7866666666666666,5.035646686192075,2.868544393294779,2.511655139446907
2017-08-07,2.8,5.074183354587151,2.882199212829797,2.531669945330497
2017-08-08,2.81,5.103085855883459,2.8924403274810606,2.54668104974319
2017-08-09,2.81,5.103085855883459,2.8924403274810606,2.54668104974319
2017-08-10,2.89,5.334305866253916,2.97436924469117,2.666769885044728
